0,7
1,26
2,4
3,12
4,24
5,13
6,64
7,4
8,49
9,73
10,83
11,27
12,90
13,39
14,26
15,14
16,43
17,17
18,10
19,20
20,91
21,95
22,91
23,57
24,12
25,103
26,44
27,62
28,47
29,75
30,123
31,150
32,140141
33,277
34,508
35,7
36,69
37,38
38,21
39,3282
40,282
41,273
42,67
43,103
44,2127
45,1199
46,1696
47,707
48,8
49,68
50,17
51,10
52,74
53,11
54,3
55,59
56,5
57,5
58,442
59,202
60,163
61,335
62,165
63,41
64,362
65,139
66,362
67,2165
68,2435
69,1957
70,0
71,2382
72,1791
73,902
74,960
75,20
76,247
77,1960
78,9386
79,2153
80,88
81,57
82,72
83,906
84,1232
85,70
86,12660
87,12779
88,421
89,1287
90,1161
91,5535
92,5277
93,9974
94,10220
95,372
96,127
97,326
98,6703
99,6849
100,7269
101,7223
102,414
103,486
104,216
105,11732
106,6388
107,6360
108,1867
109,11152
110,1895
111,3
112,1080
113,1334
114,1098
115,0
116,1379
117,973
118,3
119,6839
120,6513
121,118
122,7133
123,37
124,310
125,536
126,73
127,7
128,25
129,2
130,11
131,26
132,13
133,70
134,5
135,46
136,71
137,87
138,26
139,96
140,39
141,32
142,12
143,52
144,20
145,13
146,19
147,108
148,83
149,80
150,53
151,14
152,82
153,43
154,59
155,36
156,76
157,128
158,152
159,138715
160,270
161,516
162,5
163,62
164,30
165,18
166,3191
167,284
168,274
169,64
170,99
171,2127
172,1204
173,1662
174,660
175,9
176,70
177,14
178,9
179,72
180,11
181,5
182,67
183,4
184,5
185,407
186,200
187,164
188,322
189,157
190,48
191,362
192,130
193,374
194,2115
195,2502
196,1873
197,0
198,2300
199,1751
200,934
201,981
202,21
203,243
204,1988
205,9335
206,2117
207,75
208,64
209,81
210,906
211,1193
212,73
213,12954
214,12212
215,426
216,1308
217,1176
218,5585
219,5439
220,10057
221,10322
222,365
223,117
224,332
225,6757
226,6837
227,6880
228,7211
229,421
230,500
231,205
232,11153
233,6459
234,6537
235,1834
236,11355
237,1926
238,0
239,1046
240,1269
241,1088
242,0
243,1289
244,976
245,0
246,6906
247,6411
248,115
249,6736
250,38
251,339
252,539
253,73
